x0	x1	y0	y1
0.890625	0.894531	-0.996094	-0.992188
0.796875	0.800781	-0.503906	-0.500000
1.617188	1.621094	0.246094	0.250000
1.617188	1.621094	0.242188	0.246094
1.621094	1.625000	0.242188	0.246094
1.621094	1.625000	0.238281	0.242188
1.621094	1.625000	0.234375	0.238281
1.617188	1.621094	0.238281	0.242188
1.613281	1.617188	0.246094	0.250000
0.875000	0.878906	-1.003906	-1.000000
0.753906	0.757812	-0.539062	-0.535156
0.750000	0.753906	-0.539062	-0.535156
0.757812	0.761719	-0.535156	-0.531250
0.761719	0.765625	-0.535156	-0.531250
0.757812	0.761719	-0.539062	-0.535156
0.750000	0.753906	-0.542969	-0.539062
0.769531	0.773438	-0.527344	-0.523438
0.765625	0.769531	-0.527344	-0.523438
0.765625	0.769531	-0.531250	-0.527344
0.773438	0.777344	-0.519531	-0.515625
0.777344	0.781250	-0.519531	-0.515625
0.773438	0.777344	-0.523438	-0.519531
0.769531	0.773438	-0.523438	-0.519531
0.761719	0.765625	-0.531250	-0.527344
0.777344	0.781250	-0.515625	-0.511719
1.070312	1.074219	-0.152344	-0.148438
1.070312	1.074219	-0.156250	-0.152344
1.074219	1.078125	-0.144531	-0.140625
1.070312	1.074219	-0.148438	-0.144531
1.074219	1.078125	-0.148438	-0.144531
1.066406	1.070312	-0.156250	-0.152344
1.078125	1.082031	-0.136719	-0.132812
1.078125	1.082031	-0.132812	-0.128906
1.078125	1.082031	-0.128906	-0.125000
1.082031	1.085938	-0.128906	-0.125000
1.074219	1.078125	-0.140625	-0.136719
1.074219	1.078125	-0.136719	-0.132812
1.066406	1.070312	-0.160156	-0.156250
1.062500	1.066406	-0.164062	-0.160156
1.066406	1.070312	-0.164062	-0.160156
1.062500	1.066406	-0.167969	-0.164062
1.062500	1.066406	-0.171875	-0.167969
1.050781	1.054688	-0.195312	-0.191406
1.050781	1.054688	-0.191406	-0.187500
1.046875	1.050781	-0.195312	-0.191406
1.046875	1.050781	-0.199219	-0.195312
1.046875	1.050781	-0.203125	-0.199219
1.039062	1.042969	-0.214844	-0.210938
1.039062	1.042969	-0.218750	-0.214844
1.042969	1.046875	-0.207031	-0.203125
1.039062	1.042969	-0.210938	-0.207031
1.042969	1.046875	-0.210938	-0.207031
1.035156	1.039062	-0.218750	-0.214844
1.042969	1.046875	-0.203125	-0.199219
1.031250	1.035156	-0.230469	-0.226562
1.031250	1.035156	-0.226562	-0.222656
1.035156	1.039062	-0.222656	-0.218750
1.031250	1.035156	-0.222656	-0.218750
1.027344	1.031250	-0.234375	-0.230469
1.027344	1.031250	-0.230469	-0.226562
1.019531	1.023438	-0.246094	-0.242188
1.015625	1.019531	-0.250000	-0.246094
1.019531	1.023438	-0.250000	-0.246094
1.023438	1.027344	-0.238281	-0.234375
1.023438	1.027344	-0.242188	-0.238281
1.027344	1.031250	-0.238281	-0.234375
1.019531	1.023438	-0.242188	-0.238281
1.058594	1.062500	-0.175781	-0.171875
1.058594	1.062500	-0.179688	-0.175781
1.054688	1.058594	-0.179688	-0.175781
1.054688	1.058594	-0.187500	-0.183594
1.054688	1.058594	-0.183594	-0.179688
1.050781	1.054688	-0.187500	-0.183594
1.058594	1.062500	-0.171875	-0.167969
-1.218750	-1.214844	-1.777344	-1.773438
-1.214844	-1.210938	-1.777344	-1.773438
-1.207031	-1.203125	-1.773438	-1.769531
-1.210938	-1.207031	-1.773438	-1.769531
-1.218750	-1.214844	-1.773438	-1.769531
-1.214844	-1.210938	-1.773438	-1.769531
-1.203125	-1.199219	-1.769531	-1.765625
-1.203125	-1.199219	-1.773438	-1.769531
-1.199219	-1.195312	-1.773438	-1.769531
-1.199219	-1.195312	-1.769531	-1.765625
-1.191406	-1.187500	-1.769531	-1.765625
-1.195312	-1.191406	-1.769531	-1.765625
-1.191406	-1.187500	-1.765625	-1.761719
-1.234375	-1.230469	-1.781250	-1.777344
-1.230469	-1.226562	-1.781250	-1.777344
-1.230469	-1.226562	-1.777344	-1.773438
-1.222656	-1.218750	-1.777344	-1.773438
-1.226562	-1.222656	-1.777344	-1.773438
-1.226562	-1.222656	-1.781250	-1.777344
-1.238281	-1.234375	-1.781250	-1.777344
-1.242188	-1.238281	-1.781250	-1.777344
-1.246094	-1.242188	-1.785156	-1.781250
-1.250000	-1.246094	-1.785156	-1.781250
-1.242188	-1.238281	-1.785156	-1.781250
-1.175781	-1.171875	-1.761719	-1.757812
-1.179688	-1.175781	-1.765625	-1.761719
-1.175781	-1.171875	-1.765625	-1.761719
