x0	x1	y0	y1
0.867188	0.868164	-0.435547	-0.434570
1.086914	1.087891	-0.113281	-0.112305
1.085938	1.086914	-0.115234	-0.114258
-0.940430	-0.939453	1.560547	1.561523
1.054688	1.055664	-0.185547	-0.184570
0.401367	0.402344	-1.212891	-1.211914
0.398438	0.399414	-1.213867	-1.212891
0.402344	0.403320	-1.211914	-1.210938
0.396484	0.397461	-1.214844	-1.213867
0.392578	0.393555	-1.216797	-1.215820
0.392578	0.393555	-1.215820	-1.214844
0.391602	0.392578	-1.216797	-1.215820
0.390625	0.391602	-1.217773	-1.216797
0.387695	0.388672	-1.218750	-1.217773
0.386719	0.387695	-1.218750	-1.217773
0.416016	0.416992	-1.206055	-1.205078
0.415039	0.416016	-1.206055	-1.205078
0.417969	0.418945	-1.206055	-1.205078
0.420898	0.421875	-1.204102	-1.203125
0.411133	0.412109	-1.217773	-1.216797
0.409180	0.410156	-1.218750	-1.217773
0.411133	0.412109	-1.208008	-1.207031
0.412109	0.413086	-1.208984	-1.208008
0.408203	0.409180	-1.209961	-1.208984
0.418945	0.419922	-1.214844	-1.213867
0.421875	0.422852	-1.213867	-1.212891
0.421875	0.422852	-1.211914	-1.210938
0.436523	0.437500	-1.207031	-1.206055
0.431641	0.432617	-1.208008	-1.207031
0.430664	0.431641	-1.208984	-1.208008
0.428711	0.429688	-1.208984	-1.208008
0.425781	0.426758	-1.210938	-1.209961
0.427734	0.428711	-1.210938	-1.209961
0.424805	0.425781	-1.202148	-1.201172
0.425781	0.426758	-1.202148	-1.201172
0.435547	0.436523	-1.198242	-1.197266
0.394531	0.395508	-1.223633	-1.222656
0.395508	0.396484	-1.224609	-1.223633
0.396484	0.397461	-1.224609	-1.223633
0.393555	0.394531	-1.225586	-1.224609
0.398438	0.399414	-1.223633	-1.222656
0.403320	0.404297	-1.221680	-1.220703
0.376953	0.377930	-1.231445	-1.230469
0.377930	0.378906	-1.231445	-1.230469
0.378906	0.379883	-1.231445	-1.230469
1.012695	1.013672	-0.257812	-0.256836
1.014648	1.015625	-0.255859	-0.254883
1.011719	1.012695	-0.259766	-0.258789
1.078125	1.079102	-0.134766	-0.133789
1.080078	1.081055	-0.129883	-0.128906
1.079102	1.080078	-0.131836	-0.130859
1.069336	1.070312	-0.155273	-0.154297
1.065430	1.066406	-0.165039	-0.164062
1.064453	1.065430	-0.166992	-0.166016
1.067383	1.068359	-0.161133	-0.160156
1.047852	1.048828	-0.200195	-0.199219
1.048828	1.049805	-0.197266	-0.196289
1.051758	1.052734	-0.192383	-0.191406
1.044922	1.045898	-0.205078	-0.204102
1.041992	1.042969	-0.210938	-0.209961
1.041016	1.041992	-0.212891	-0.211914
1.025391	1.026367	-0.239258	-0.238281
1.023438	1.024414	-0.242188	-0.241211
1.021484	1.022461	-0.245117	-0.244141
