c1	c2	c3	c4	c5	c6	c7
1	1	11	0	0	3.459431618637297
2	0.5	29	1	1	4.857980995127572	1.398549376490275
4	0.25	72	2	2	6.169925001442312	1.31194400631474
8	0.125	160	3	3	7.321928094887363	1.15200309344505
16	0.0625	388	4	4	8.599912842187127	1.277984747299764
32	0.03125	908	5	5	9.826548487290914	1.226635645103787
64	0.015625	2152	6	6	11.07146236255662	1.244913875265709
128	0.0078125	4953	7	7	12.27408690563441	1.202624543077791
256	0.00390625	11828	8	8	13.52991852812032	1.255831622485911
512	0.00195312	28425	9	9	14.79487272866697	1.264954200546647
1024	0.000976562	66081	10	10	16.01194789869368	1.217075170026712
2048	0.000488281	152486	11	11	17.21831726689766	1.206369368203976
4096	0.000244141	305127	12	12	18.21905032083202	1.000733053934358
8192	0.00012207	515280	13	13	18.97499707146729	0.7559467506352746
