e	t	h	m	s
0	0.085581	0.000000	0.000000	0.085581
1	0.170231	0.000000	0.000000	0.170231
2	0.328944	0.000000	0.000000	0.328944
3	0.623892	0.000000	0.000000	0.623892
4	1.550193	0.000000	0.000000	1.550193
5	3.935423	0.000000	0.000000	3.935423
6	10.100313	0.000000	0.000000	10.100313
7	21.162411	0.000000	0.000000	21.162411
8	45.589189	0.000000	0.000000	45.589189
9	107.934142	0.000000	1.000000	47.934142
10	307.092802	0.000000	5.000000	7.092802
11	751.4413070000001	0.000000	12.000000	31.441307
12	1494.528138	0.000000	24.000000	54.528138
13	2289.249108	0.000000	38.000000	9.249108
