x0	x1	y0	y1
1.623047	1.625000	0.333984	0.335938
0.890625	0.892578	-0.994141	-0.992188
0.796875	0.798828	-0.501953	-0.500000
1.617188	1.619141	0.246094	0.248047
1.617188	1.619141	0.248047	0.250000
1.617188	1.619141	0.244141	0.246094
1.619141	1.621094	0.244141	0.246094
1.619141	1.621094	0.242188	0.244141
1.621094	1.623047	0.242188	0.244141
1.623047	1.625000	0.238281	0.240234
1.621094	1.623047	0.240234	0.242188
1.621094	1.623047	0.238281	0.240234
1.623047	1.625000	0.236328	0.238281
1.623047	1.625000	0.234375	0.236328
1.619141	1.621094	0.240234	0.242188
1.615234	1.617188	0.248047	0.250000
1.615234	1.617188	0.246094	0.248047
0.875000	0.876953	-1.001953	-1.000000
0.755859	0.757812	-0.537109	-0.535156
0.753906	0.755859	-0.539062	-0.537109
0.753906	0.755859	-0.537109	-0.535156
0.751953	0.753906	-0.539062	-0.537109
0.757812	0.759766	-0.535156	-0.533203
0.759766	0.761719	-0.533203	-0.531250
0.759766	0.761719	-0.535156	-0.533203
0.761719	0.763672	-0.533203	-0.531250
0.757812	0.759766	-0.537109	-0.535156
0.750000	0.751953	-0.541016	-0.539062
0.750000	0.751953	-0.542969	-0.541016
0.751953	0.753906	-0.541016	-0.539062
0.771484	0.773438	-0.525391	-0.523438
0.769531	0.771484	-0.525391	-0.523438
0.767578	0.769531	-0.527344	-0.525391
0.765625	0.767578	-0.527344	-0.525391
0.765625	0.767578	-0.529297	-0.527344
0.775391	0.777344	-0.519531	-0.517578
0.777344	0.779297	-0.519531	-0.517578
0.779297	0.781250	-0.517578	-0.515625
0.777344	0.779297	-0.517578	-0.515625
0.775391	0.777344	-0.521484	-0.519531
0.773438	0.775391	-0.523438	-0.521484
0.773438	0.775391	-0.521484	-0.519531
0.771484	0.773438	-0.523438	-0.521484
0.761719	0.763672	-0.531250	-0.529297
0.763672	0.765625	-0.529297	-0.527344
0.763672	0.765625	-0.531250	-0.529297
0.779297	0.781250	-0.515625	-0.513672
1.070312	1.072266	-0.152344	-0.150391
1.072266	1.074219	-0.150391	-0.148438
1.070312	1.072266	-0.150391	-0.148438
1.070312	1.072266	-0.154297	-0.152344
1.074219	1.076172	-0.144531	-0.142578
1.074219	1.076172	-0.142578	-0.140625
1.076172	1.078125	-0.142578	-0.140625
1.072266	1.074219	-0.146484	-0.144531
1.072266	1.074219	-0.148438	-0.146484
1.074219	1.076172	-0.146484	-0.144531
1.068359	1.070312	-0.156250	-0.154297
1.078125	1.080078	-0.134766	-0.132812
1.078125	1.080078	-0.136719	-0.134766
1.080078	1.082031	-0.130859	-0.128906
1.078125	1.080078	-0.132812	-0.130859
1.080078	1.082031	-0.132812	-0.130859
1.080078	1.082031	-0.126953	-0.125000
1.080078	1.082031	-0.128906	-0.126953
1.082031	1.083984	-0.126953	-0.125000
1.076172	1.078125	-0.138672	-0.136719
1.076172	1.078125	-0.140625	-0.138672
1.076172	1.078125	-0.136719	-0.134766
1.068359	1.070312	-0.158203	-0.156250
1.066406	1.068359	-0.160156	-0.158203
1.068359	1.070312	-0.160156	-0.158203
1.064453	1.066406	-0.164062	-0.162109
1.066406	1.068359	-0.164062	-0.162109
1.066406	1.068359	-0.162109	-0.160156
1.062500	1.064453	-0.167969	-0.166016
1.064453	1.066406	-0.167969	-0.166016
1.064453	1.066406	-0.166016	-0.164062
1.062500	1.064453	-0.171875	-0.169922
1.062500	1.064453	-0.169922	-0.167969
1.050781	1.052734	-0.195312	-0.193359
1.050781	1.052734	-0.193359	-0.191406
1.050781	1.052734	-0.191406	-0.189453
1.052734	1.054688	-0.189453	-0.187500
1.052734	1.054688	-0.191406	-0.189453
1.048828	1.050781	-0.195312	-0.193359
1.048828	1.050781	-0.197266	-0.195312
1.048828	1.050781	-0.199219	-0.197266
1.046875	1.048828	-0.199219	-0.197266
1.046875	1.048828	-0.201172	-0.199219
